ID,AssignedTo,CPUDemand,SemanticVector,Step
6,1.0,1,"[0.3082749545574188, 0.38242828845977783, 0.6779952049255371, 0.04789784923195839, 0.9026643633842468, 0.19554270803928375, 0.0882568359375, 0.8859586119651794, 0.13637466728687286, 0.7947269082069397, 0.7370558381080627, 0.20605114102363586, 0.2751816511154175, 0.7105224132537842, 0.12616510689258575, 0.8806108832359314]",89
1,1.0,1,"[0.9412695169448853, 0.18671974539756775, 0.5190991759300232, 0.3260143995285034, 0.7071923613548279, 0.43883025646209717, 0.9738582968711853, 0.5390029549598694, 0.6827870607376099, 0.09608384221792221, 0.25399619340896606, 0.8648924231529236, 0.3049430847167969, 0.01020203810185194, 0.009116978384554386, 0.8497490882873535]",90
2,1.0,2,"[0.7555691599845886, 0.08951112627983093, 0.8387952446937561, 0.6814796924591064, 0.9630793333053589, 0.3458462655544281, 0.9972296357154846, 0.20931993424892426, 0.4804539680480957, 0.5502578020095825, 0.04653944447636604, 0.12771855294704437, 0.35668230056762695, 0.3646402359008789, 0.13329772651195526, 0.12118680030107498]",90
3,5.0,3,"[0.6650298237800598, 0.40900078415870667, 0.3397909700870514, 0.5666882991790771, 0.7726441621780396, 0.8821253180503845, 0.5406358242034912, 0.8380933403968811, 0.8877488374710083, 0.7517597079277039, 0.9731438159942627, 0.022010842338204384, 0.9603036046028137, 0.7062763571739197, 0.8183623552322388, 0.7709938287734985]",90
4,1.0,4,"[0.5416227579116821, 0.39835068583488464, 0.4340767562389374, 0.4040205478668213, 0.9109591841697693, 0.47176849842071533, 0.8777322173118591, 0.9336352944374084, 0.6626409888267517, 0.10502281785011292, 0.7726514935493469, 0.44318094849586487, 0.5041609406471252, 0.7939594984054565, 0.9582546949386597, 0.4208453893661499]",90
5,1.0,5,"[0.11151666194200516, 0.682908296585083, 0.14435389637947083, 0.531964123249054, 0.10454318672418594, 0.14422136545181274, 0.5886278748512268, 0.9944993257522583, 0.20940643548965454, 0.7273637652397156, 0.8223947882652283, 0.9613340497016907, 0.3019797205924988, 0.6644275784492493, 0.5932797789573669, 0.30476802587509155]",90
6,1.0,1,"[0.6195869445800781, 0.05358365923166275, 0.09818689525127411, 0.9213476181030273, 0.025876667350530624, 0.5446369051933289, 0.8153863549232483, 0.1319863647222519, 0.5840731263160706, 0.8691017627716064, 0.9702814817428589, 0.04454419016838074, 0.18923328816890717, 0.3572583496570587, 0.36001282930374146, 0.18410900235176086]",90
1,1.0,1,"[0.5596773624420166, 0.7169603705406189, 0.15278667211532593, 0.9693567752838135, 0.6669662594795227, 0.9237338900566101, 0.2867179214954376, 0.9779385924339294, 0.14188449084758759, 0.580312192440033, 0.2511843740940094, 0.01082813274115324, 0.4733101725578308, 0.5626503229141235, 0.9756481051445007, 0.6580880284309387]",91
2,1.0,2,"[0.4482402503490448, 0.7541816234588623, 0.4285942018032074, 0.08813431113958359, 0.27577826380729675, 0.13685069978237152, 0.9549728631973267, 0.021112525835633278, 0.04580365866422653, 0.46629413962364197, 0.614141583442688, 0.9563798904418945, 0.18186645209789276, 0.37184667587280273, 0.5211029648780823, 0.5895066261291504]",91
3,1.0,3,"[0.01427689753472805, 0.9208944439888, 0.6450822949409485, 0.6087965369224548, 0.011744205839931965, 0.2637532353401184, 0.7881652116775513, 0.342393159866333, 0.5435358881950378, 0.23801028728485107, 0.06079833209514618, 0.9624870419502258, 0.2691437304019928, 0.4190317690372467, 0.13989120721817017, 0.9664226174354553]",91
4,1.0,4,"[0.56519615650177, 0.15755613148212433, 0.9078754186630249, 0.09969794005155563, 0.8594604730606079, 0.7550101280212402, 0.7037201523780823, 0.8187586069107056, 0.37297073006629944, 0.9444617629051208, 0.34128686785697937, 0.960176944732666, 0.9402951598167419, 0.9062710404396057, 0.42750924825668335, 0.7397375106811523]",91
5,1.0,5,"[0.33103176951408386, 0.5003578066825867, 0.26236236095428467, 0.46269333362579346, 0.6808809041976929, 0.9794597029685974, 0.7027932405471802, 0.2731574475765228, 0.19865335524082184, 0.03479040414094925, 0.9272192120552063, 0.011053595691919327, 0.39348870515823364, 0.9281333684921265, 0.23445549607276917, 0.6837924718856812]",91
6,1.0,1,"[0.4788391590118408, 0.6855422258377075, 0.47921982407569885, 0.8002032041549683, 0.11449912190437317, 0.13428126275539398, 0.8561935424804688, 0.20904967188835144, 0.8311328887939453, 0.7811728119850159, 0.6559685468673706, 0.4065943956375122, 0.11596859246492386, 0.27249830961227417, 0.9810937643051147, 0.5861356258392334]",91
1,1.0,1,"[0.5130464434623718, 0.21069537103176117, 0.5149456262588501, 0.5889876484870911, 0.4751138389110565, 0.8024316430091858, 0.9554462432861328, 0.5288814902305603, 0.8907188177108765, 0.7060925364494324, 0.98978191614151, 0.8604609370231628, 0.1751331090927124, 0.9164265394210815, 0.24029844999313354, 0.6034260988235474]",92
2,2.0,2,"[0.9258384108543396, 0.05261862277984619, 0.055378686636686325, 0.036547284573316574, 0.13271783292293549, 0.24479588866233826, 0.5781757831573486, 0.8855763077735901, 0.30488789081573486, 0.25652846693992615, 0.3900618255138397, 0.5107049345970154, 0.1160450428724289, 0.6449137926101685, 0.4155779182910919, 0.46190717816352844]",92
3,1.0,3,"[0.03325975313782692, 0.08793480694293976, 0.5412355661392212, 0.5985520482063293, 0.5109313130378723, 0.46842464804649353, 0.7858619689941406, 0.4949154257774353, 0.4043234586715698, 0.5098059177398682, 0.13410678505897522, 0.054326072335243225, 0.7837618589401245, 0.49746835231781006, 0.08198712021112442, 0.9082399010658264]",92
4,6.0,4,"[0.31980350613594055, 0.5537371635437012, 0.7446532249450684, 0.34232065081596375, 0.20509682595729828, 0.3370448052883148, 0.5209661722183228, 0.07595104724168777, 0.44945594668388367, 0.2337953746318817, 0.8671091794967651, 0.703251838684082, 0.49368414282798767, 0.8907575607299805, 0.6238747835159302, 0.7185935974121094]",92
5,1.0,5,"[0.7611429691314697, 0.7611159086227417, 0.25883856415748596, 0.6516456007957458, 0.2369198501110077, 0.616590142250061, 0.727997899055481, 0.48813197016716003, 0.8171834945678711, 0.10229607671499252, 0.2595725953578949, 0.3437362015247345, 0.8033156991004944, 0.7257144451141357, 0.5911548137664795, 0.6821357011795044]",92
6,1.0,1,"[0.9411706924438477, 0.8757765293121338, 0.5901476144790649, 0.7835675477981567, 0.5430675745010376, 0.009076867252588272, 0.33008432388305664, 0.12301424890756607, 0.7920966148376465, 0.9006500840187073, 0.754241943359375, 0.22247150540351868, 0.8455821871757507, 0.06636159867048264, 0.14555227756500244, 0.22419799864292145]",92
1,1.0,1,"[0.67076176404953, 0.40585222840309143, 0.32865196466445923, 0.3249462842941284, 0.27926918864250183, 0.6301926374435425, 0.44562679529190063, 0.5955531001091003, 0.6626214981079102, 0.4791087210178375, 0.6717109680175781, 0.8230419754981995, 0.13570858538150787, 0.5462343096733093, 0.6478999853134155, 0.16209669411182404]",93
2,1.0,2,"[0.8853289484977722, 0.8322288393974304, 0.028998155146837234, 0.5641825199127197, 0.05396013334393501, 0.07822691649198532, 0.86297208070755, 0.5970603823661804, 0.10350067913532257, 0.2916153073310852, 0.8539778590202332, 0.7545852661132812, 0.46122583746910095, 0.6475372910499573, 0.0411665178835392, 0.9335428476333618]",93
3,2.0,3,"[0.9780528545379639, 0.9253791570663452, 0.8212571740150452, 0.7999768257141113, 0.4330800175666809, 0.02639632113277912, 0.6923840641975403, 0.06637941300868988, 0.19520080089569092, 0.26791951060295105, 0.895800769329071, 0.9566614627838135, 0.5108403563499451, 0.07162076979875565, 0.6005816459655762, 0.5230017900466919]",93
4,1.0,4,"[0.5590186715126038, 0.828740119934082, 0.13642656803131104, 0.6932259202003479, 0.08475911617279053, 0.7609710097312927, 0.03427927568554878, 0.30695465207099915, 0.20656165480613708, 0.7842134833335876, 0.557898998260498, 0.7316948771476746, 0.36280006170272827, 0.19913020730018616, 0.0363621860742569, 0.8340757489204407]",93
5,2.0,5,"[0.6404015421867371, 0.4401419758796692, 0.9148492217063904, 0.21011267602443695, 0.9994003176689148, 0.9503983855247498, 0.46216365694999695, 0.6661136746406555, 0.02694019116461277, 0.8138270974159241, 0.15247422456741333, 0.9559231996536255, 0.4817506670951843, 0.43847352266311646, 0.524549126625061, 0.3917454481124878]",93
6,6.0,1,"[0.8982335329055786, 0.8910657167434692, 0.015014523640275002, 0.2129994034767151, 0.44005364179611206, 0.67563796043396, 0.3476542830467224, 0.6797218918800354, 0.19595234096050262, 0.10001008957624435, 0.8005935549736023, 0.8855076432228088, 0.2970605790615082, 0.8351905941963196, 0.9767704010009766, 0.935181736946106]",93
1,6.0,1,"[0.7466415166854858, 0.83476722240448, 0.6729372143745422, 0.30382275581359863, 0.7921937108039856, 0.990536093711853, 0.36915597319602966, 0.8959820866584778, 0.9554914832115173, 0.3299540877342224, 0.44220268726348877, 0.7619979381561279, 0.04141587018966675, 0.9642269015312195, 0.7337691783905029, 0.32911524176597595]",94
2,1.0,2,"[0.9590481519699097, 0.6445329189300537, 0.46439629793167114, 0.9142472147941589, 0.9916553497314453, 0.5735871195793152, 0.5067917704582214, 0.7427400350570679, 0.18003474175930023, 0.7588224411010742, 0.08279231935739517, 0.781696617603302, 0.005928250961005688, 0.35591304302215576, 0.6919678449630737, 0.6523635983467102]",94
3,1.0,3,"[0.8063504099845886, 0.14040279388427734, 0.09737720340490341, 0.38715529441833496, 0.03808751329779625, 0.9639313817024231, 0.6235717535018921, 0.40062811970710754, 0.651437520980835, 0.4859044849872589, 0.26523277163505554, 0.8055082559585571, 0.4581650197505951, 0.2646022439002991, 0.3536646366119385, 0.33180007338523865]",94
4,5.0,4,"[0.727838933467865, 0.15139059722423553, 0.007446168921887875, 0.33032265305519104, 0.9517371654510498, 0.542332112789154, 0.02465495839715004, 0.3643334209918976, 0.7041378021240234, 0.642997145652771, 0.018085606396198273, 0.04653879255056381, 0.9622747898101807, 0.6617855429649353, 0.5492839813232422, 0.9530760645866394]",94
5,1.0,5,"[0.23574204742908478, 0.3873525857925415, 0.7046862244606018, 0.010286686010658741, 0.44227004051208496, 0.5053616166114807, 0.9289314150810242, 0.8002408742904663, 0.8528544306755066, 0.41047391295433044, 0.10861128568649292, 0.2305981069803238, 0.6212537884712219, 0.8861162066459656, 0.4516495168209076, 0.9004095196723938]",94
6,5.0,1,"[0.9377846717834473, 0.34217312932014465, 0.7607827186584473, 0.1368558704853058, 0.16966544091701508, 0.07907616347074509, 0.46181461215019226, 0.2789437174797058, 0.171686589717865, 0.24157992005348206, 0.013584958389401436, 0.1524898260831833, 0.9238075017929077, 0.0794636532664299, 0.8228110074996948, 0.07456114143133163]",94
1,1.0,1,"[0.6816566586494446, 0.6055607795715332, 0.39828112721443176, 0.7364841103553772, 0.9778923988342285, 0.346399188041687, 0.21371492743492126, 0.35469043254852295, 0.5264474153518677, 0.011724941432476044, 0.8303438425064087, 0.252564400434494, 0.5744143724441528, 0.2714640498161316, 0.35806211829185486, 0.2739863991737366]",95
2,1.0,2,"[0.13339461386203766, 0.5815689563751221, 0.002545103896409273, 0.6592198610305786, 0.7560147047042847, 0.31512588262557983, 0.324192076921463, 0.002991050248965621, 0.2918669283390045, 0.26283377408981323, 0.7837221622467041, 0.43348023295402527, 0.8533392548561096, 0.899133563041687, 0.9933205246925354, 0.1364346742630005]",95
3,1.0,3,"[0.9716152548789978, 0.4563540816307068, 0.017016099765896797, 0.8475518226623535, 0.3176141381263733, 0.11589443683624268, 0.38213250041007996, 0.27838724851608276, 0.32588380575180054, 0.45905205607414246, 0.26134058833122253, 0.9459732174873352, 0.7324300408363342, 0.7318523526191711, 0.14866699278354645, 0.17935480177402496]",95
4,1.0,4,"[0.9166519045829773, 0.5285883545875549, 0.7832257747650146, 0.733971118927002, 0.2584275007247925, 0.7949106693267822, 0.05928639695048332, 0.650698721408844, 0.4691995084285736, 0.08148234337568283, 0.3712970018386841, 0.28436094522476196, 0.606873095035553, 0.7471078634262085, 0.2842880189418793, 0.7746900320053101]",95
5,1.0,5,"[0.1056726798415184, 0.1761862337589264, 0.750141441822052, 0.6461562514305115, 0.15563783049583435, 0.7303698062896729, 0.46492627263069153, 0.8622736930847168, 0.4994175136089325, 0.9995070695877075, 0.7692033648490906, 0.3369128704071045, 0.936136782169342, 0.8954439759254456, 0.36506539583206177, 0.48810625076293945]",95
6,1.0,1,"[0.6974208950996399, 0.48600175976753235, 0.03488953784108162, 0.3372970223426819, 0.7667369246482849, 0.24762633442878723, 0.9004261493682861, 0.035323578864336014, 0.3003271520137787, 0.9211245775222778, 0.9186362624168396, 0.6934774518013, 0.4903702139854431, 0.09705927968025208, 0.30846646428108215, 0.35837769508361816]",95
1,1.0,1,"[0.8002548217773438, 0.6828747987747192, 0.6743635535240173, 0.08025939017534256, 0.6211568117141724, 0.6789582967758179, 0.8775240182876587, 0.15458883345127106, 0.9337906837463379, 0.9330834150314331, 0.6052941679954529, 0.6652579307556152, 0.2877849340438843, 0.7086551189422607, 0.036899518221616745, 0.9979009628295898]",96
2,1.0,2,"[0.6726486086845398, 0.708206295967102, 0.08090193569660187, 0.7750515341758728, 0.11152496188879013, 0.07365560531616211, 0.10317692160606384, 0.6211738586425781, 0.08285419642925262, 0.6275890469551086, 0.5544911623001099, 0.11152245104312897, 0.009532415308058262, 0.62410968542099, 0.2429671436548233, 0.8397027254104614]",96
3,1.0,3,"[0.6009132266044617, 0.9837565422058105, 0.05295366421341896, 0.8343926668167114, 0.6859860420227051, 0.7569509148597717, 0.6388370394706726, 0.22009603679180145, 0.7353963255882263, 0.870117723941803, 0.5689007639884949, 0.24893492460250854, 0.735216498374939, 0.03204057365655899, 0.6836197376251221, 0.6588044166564941]",96
4,1.0,4,"[0.9726803302764893, 0.6221258044242859, 0.0730300322175026, 0.572562575340271, 0.7794384360313416, 0.25154781341552734, 0.8010246157646179, 0.4390106499195099, 0.6204409003257751, 0.9070395231246948, 0.3454534709453583, 0.43283960223197937, 0.41252318024635315, 0.04472246766090393, 0.09012188017368317, 0.15135101974010468]",96
5,1.0,5,"[0.364594429731369, 0.3247889280319214, 0.22492627799510956, 0.8381547927856445, 0.8710626363754272, 0.08232908695936203, 0.20305171608924866, 0.2838241457939148, 0.5241828560829163, 0.8635539412498474, 0.11628947407007217, 0.26257064938545227, 0.30596739053726196, 0.05102492496371269, 0.19605420529842377, 0.3356587290763855]",96
6,1.0,1,"[0.13641950488090515, 0.08367940783500671, 0.04664302617311478, 0.28132715821266174, 0.04225651174783707, 0.5167238116264343, 0.5403571128845215, 0.7859240174293518, 0.04143892973661423, 0.9782626628875732, 0.4878336489200592, 0.16767224669456482, 0.06608670204877853, 0.5322579741477966, 0.8028287887573242, 0.9294936656951904]",96
1,1.0,1,"[0.19095724821090698, 0.9273508191108704, 0.9291995763778687, 0.14134903252124786, 0.5526517629623413, 0.40106794238090515, 0.025423318147659302, 0.6118579506874084, 0.02139652520418167, 0.21767361462116241, 0.8675779104232788, 0.9910976886749268, 0.2336791753768921, 0.43539780378341675, 0.5771253108978271, 0.43932124972343445]",97
2,1.0,2,"[0.2924177050590515, 0.08542288839817047, 0.8068022727966309, 0.6314119100570679, 0.9676325917243958, 0.012886596843600273, 0.9979009628295898, 0.01471240259706974, 0.6954689621925354, 0.6854907870292664, 0.3427956998348236, 0.12341379374265671, 0.6959011554718018, 0.42942750453948975, 0.7390772104263306, 0.22582045197486877]",97
3,6.0,3,"[0.9330881834030151, 0.7850906252861023, 0.18429389595985413, 0.22825048863887787, 0.14975367486476898, 0.24464213848114014, 0.1925293356180191, 0.06280386447906494, 0.05023551359772682, 0.8549468517303467, 0.41542091965675354, 0.01573503203690052, 0.8655369877815247, 0.022344859316945076, 0.9116494655609131, 0.2765023708343506]",97
4,1.0,4,"[0.38020530343055725, 0.6402331590652466, 0.24709858000278473, 0.15704114735126495, 0.10211733728647232, 0.3189453184604645, 0.8458001613616943, 0.8462415337562561, 0.5835082530975342, 0.15291918814182281, 0.504867672920227, 0.3976929485797882, 0.4216460883617401, 0.9890701174736023, 0.2139517217874527, 0.3438047170639038]",97
5,1.0,5,"[0.3836611211299896, 0.03092910349369049, 0.6436842679977417, 0.9321950674057007, 0.24768780171871185, 0.06905761361122131, 0.02647581696510315, 0.1036282628774643, 0.3633279800415039, 0.45621055364608765, 0.6357805132865906, 0.06266175210475922, 0.9597203135490417, 0.05631203576922417, 0.707861602306366, 0.927935779094696]",97
6,1.0,1,"[0.4704197347164154, 0.8757062554359436, 0.3527272641658783, 0.26054781675338745, 0.9008816480636597, 0.10852193087339401, 0.16068145632743835, 0.021335214376449585, 0.3819659650325775, 0.6161375641822815, 0.866787314414978, 0.9692050814628601, 0.12992429733276367, 0.22740429639816284, 0.7090537548065186, 0.4362442195415497]",97
1,1.0,1,"[0.3804486393928528, 0.7235574722290039, 0.2679210603237152, 0.7072353363037109, 0.21454204618930817, 0.3520859181880951, 0.9630106091499329, 0.6740092635154724, 0.8628514409065247, 0.35312536358833313, 0.7622975707054138, 0.6738016605377197, 0.8207108378410339, 0.3927302360534668, 0.276458740234375, 0.31531983613967896]",98
2,1.0,2,"[0.12151706963777542, 0.6683931350708008, 0.5852295756340027, 0.10176257789134979, 0.40267661213874817, 0.5001548528671265, 0.17566707730293274, 0.04042387381196022, 0.857042133808136, 0.5702285170555115, 0.9720030426979065, 0.6633433103561401, 0.9723619222640991, 0.5575882196426392, 0.23671774566173553, 0.9369021058082581]",98
3,1.0,3,"[0.0015541341854259372, 0.9850237369537354, 0.26318320631980896, 0.9037997722625732, 0.5943810343742371, 0.4487374424934387, 0.304808109998703, 0.2336481213569641, 0.4485151469707489, 0.7478110194206238, 0.3273552656173706, 0.8312966227531433, 0.7319964170455933, 0.07701143622398376, 0.48827964067459106, 0.9260247945785522]",98
4,1.0,4,"[0.7553961277008057, 0.2121679037809372, 0.1871437430381775, 0.44892916083335876, 0.28633663058280945, 0.8228346109390259, 0.7241563200950623, 0.6710873246192932, 0.827616810798645, 0.04811740294098854, 0.6070268154144287, 0.8377161026000977, 0.8750569820404053, 0.4329945743083954, 0.014850882813334465, 0.9276614785194397]",98
5,1.0,5,"[0.30275416374206543, 0.6583796143531799, 0.44915512204170227, 0.6441808342933655, 0.756010890007019, 0.9462610483169556, 0.640762209892273, 0.06387999653816223, 0.531369149684906, 0.23270078003406525, 0.3462597131729126, 0.9621278643608093, 0.7585252523422241, 0.17738614976406097, 0.053790878504514694, 0.548933744430542]",98
6,1.0,1,"[0.6565148234367371, 0.3987102806568146, 0.6277651190757751, 0.4066770672798157, 0.407287061214447, 0.21947035193443298, 0.1598115712404251, 0.03113149292767048, 0.6909027099609375, 0.6801967024803162, 0.7859123349189758, 0.9019939303398132, 0.17123760282993317, 0.5180476903915405, 0.09423753619194031, 0.3670461177825928]",98
1,1.0,1,"[0.7672545313835144, 0.785011351108551, 0.7051408290863037, 0.06260611116886139, 0.8530176281929016, 0.9268116354942322, 0.9086479544639587, 0.1798739731311798, 0.9550725817680359, 0.3263147473335266, 0.17878593504428864, 0.5644694566726685, 0.48400458693504333, 0.864382266998291, 0.13782227039337158, 0.28614452481269836]",99
2,1.0,2,"[0.24308402836322784, 0.6615461111068726, 0.20060257613658905, 0.8296436667442322, 0.32991427183151245, 0.25477007031440735, 0.897321343421936, 0.8371497988700867, 0.17714548110961914, 0.33124104142189026, 0.5025370121002197, 0.2881074845790863, 0.43564754724502563, 0.6789233684539795, 0.9535775184631348, 0.9918355941772461]",99
3,1.0,3,"[0.8993290066719055, 0.06961982697248459, 0.3621194064617157, 0.8653380870819092, 0.4732367694377899, 0.6650347709655762, 0.449546754360199, 0.767345130443573, 0.7759690284729004, 0.7508187890052795, 0.06270027905702591, 0.03288937360048294, 0.7826018333435059, 0.36483216285705566, 0.6590645909309387, 0.34599265456199646]",99
4,5.0,4,"[0.5103992819786072, 0.6146588921546936, 0.09435728192329407, 0.7487232089042664, 0.6684312224388123, 0.9003424048423767, 0.26070737838745117, 0.7540845274925232, 0.9351450800895691, 0.6859392523765564, 0.5950654745101929, 0.8677287101745605, 0.5055238008499146, 0.751624345779419, 0.3927038013935089, 0.7323948740959167]",99
5,1.0,5,"[0.2160891890525818, 0.1569291204214096, 0.6253370046615601, 0.6696750521659851, 0.4415568709373474, 0.3349936306476593, 0.3901311457157135, 0.2346084713935852, 0.7888217568397522, 0.909403383731842, 0.9242696762084961, 0.031067712232470512, 0.11816732585430145, 0.7985714673995972, 0.9976046085357666, 0.8735643625259399]",99
6,1.0,1,"[0.10737410932779312, 0.8933755159378052, 0.6609377861022949, 0.7076327800750732, 0.1440047025680542, 0.5101134181022644, 0.6471617817878723, 0.14266179502010345, 0.3797116279602051, 0.6067342758178711, 0.40201157331466675, 0.955970287322998, 0.9837681651115417, 0.7986617088317871, 0.6590328812599182, 0.9762672781944275]",99
1,2.0,1,"[0.627657413482666, 0.09742861986160278, 0.9731280207633972, 0.02967630885541439, 0.5098733305931091, 0.5726185441017151, 0.11979687213897705, 0.9049471020698547, 0.4143301248550415, 0.46400633454322815, 0.8531773686408997, 0.8006275296211243, 0.21340487897396088, 0.977166473865509, 0.00966575089842081, 0.2627824544906616]",100
2,1.0,2,"[0.10083457082509995, 0.9496549367904663, 0.06722907721996307, 0.1807887852191925, 0.9432409405708313, 0.43217119574546814, 0.8253624439239502, 0.08304474502801895, 0.5278216004371643, 0.9143620729446411, 0.6951865553855896, 0.32541602849960327, 0.23371054232120514, 0.8591427206993103, 0.3268333077430725, 0.8360469341278076]",100
3,1.0,3,"[0.7992302775382996, 0.16566915810108185, 0.4500728249549866, 0.9054737687110901, 0.41061893105506897, 0.7426095008850098, 0.00023547853925265372, 0.5737581849098206, 0.2299155741930008, 0.7597523331642151, 0.850678563117981, 0.6287961006164551, 0.42430028319358826, 0.2362070381641388, 0.5118852257728577, 0.7955381870269775]",100
4,1.0,4,"[0.9372662901878357, 0.6993281245231628, 0.9354603886604309, 0.7894479632377625, 0.2696027457714081, 0.4566195607185364, 0.791833221912384, 0.22163483500480652, 0.5369222164154053, 0.236294686794281, 0.8446616530418396, 0.6651880741119385, 0.436087965965271, 0.4973161816596985, 0.811255931854248, 0.3154514729976654]",100
5,6.0,5,"[0.9211341738700867, 0.4469015598297119, 0.6152850389480591, 0.6665893793106079, 0.5835102200508118, 0.17235060036182404, 0.5541433691978455, 0.4346492886543274, 0.17457257211208344, 0.8715276718139648, 0.4235953986644745, 0.17061127722263336, 0.49944522976875305, 0.36231037974357605, 0.11373422294855118, 0.9270228147506714]",100
6,1.0,1,"[0.33969736099243164, 0.7615947723388672, 0.1979645937681198, 0.8600791692733765, 0.22468987107276917, 0.5830494165420532, 0.2051083743572235, 0.3694748878479004, 0.2515864372253418, 0.4610927104949951, 0.46773794293403625, 0.12706951797008514, 0.6234407424926758, 0.6595489382743835, 0.3450859785079956, 0.19418121874332428]",100
1,1.0,1,"[0.44139719009399414, 0.36173227429389954, 0.855289876461029, 0.8280314207077026, 0.3339727222919464, 0.872061014175415, 0.7461490631103516, 0.5312606692314148, 0.7326631546020508, 0.6118740439414978, 0.36626994609832764, 0.4461691975593567, 0.5284796357154846, 0.4376395046710968, 0.7899227738380432, 0.4526231288909912]",101
2,1.0,2,"[0.31932196021080017, 0.534204363822937, 0.9766711592674255, 0.5885910987854004, 0.8271909952163696, 0.29127904772758484, 0.12441644817590714, 0.17820726335048676, 0.6891693472862244, 0.3652553856372833, 0.3990562856197357, 0.4499085545539856, 0.7511007189750671, 0.9857034087181091, 0.17962612211704254, 0.5127522945404053]",101
3,1.0,3,"[0.12591692805290222, 0.02635938860476017, 0.9125521183013916, 0.47282782196998596, 0.828738808631897, 0.6371616721153259, 0.550931990146637, 0.8101613521575928, 0.0850842148065567, 0.4012775719165802, 0.2228742092847824, 0.46267858147621155, 0.3665984869003296, 0.5854122042655945, 0.7785482406616211, 0.4534381031990051]",101
4,1.0,4,"[0.07986439764499664, 0.9179641604423523, 0.7773963212966919, 0.6542246341705322, 0.4973757863044739, 0.6406902074813843, 0.4154590368270874, 0.9255083799362183, 0.2685200572013855, 0.023088138550519943, 0.688599705696106, 0.7631601691246033, 0.5234415531158447, 0.5023050308227539, 0.2139015942811966, 0.2915073037147522]",101
5,6.0,5,"[0.9620371460914612, 0.7146140933036804, 0.8298021554946899, 0.901116132736206, 0.48067766427993774, 0.9818319082260132, 0.6811596751213074, 0.1993837207555771, 0.348196417093277, 0.9038242101669312, 0.4587879478931427, 0.7963399291038513, 0.0410291813313961, 0.1470850110054016, 0.5360435843467712, 0.5616531372070312]",101
6,1.0,1,"[0.9189092516899109, 0.9245498180389404, 0.5551280379295349, 0.16376595199108124, 0.4828605055809021, 0.940712034702301, 0.28617024421691895, 0.9134738445281982, 0.380694180727005, 0.3717728853225708, 0.27757880091667175, 0.30314648151397705, 0.47950461506843567, 0.44986605644226074, 0.4650360941886902, 0.23117578029632568]",101
1,6.0,1,"[0.09388896077871323, 0.745210587978363, 0.8583263158798218, 0.24519184231758118, 0.769263505935669, 0.8864748477935791, 0.5439753532409668, 0.16423697769641876, 0.133433535695076, 0.16588683426380157, 0.37776803970336914, 0.512709379196167, 0.3771090507507324, 0.48757869005203247, 0.721032440662384, 0.8534510135650635]",102
2,1.0,2,"[0.8688504695892334, 0.46276798844337463, 0.24230603873729706, 0.3936939239501953, 0.44182106852531433, 0.6737055778503418, 0.34450802206993103, 0.2926786541938782, 0.6298239827156067, 0.27976348996162415, 0.832674503326416, 0.09862762689590454, 0.6109908819198608, 0.5654098987579346, 0.3295111358165741, 0.31703096628189087]",102
3,6.0,3,"[0.4370470345020294, 0.5435925126075745, 0.7376790046691895, 0.018967166543006897, 0.44297879934310913, 0.5609465837478638, 0.17106853425502777, 0.008298348635435104, 0.20977547764778137, 0.7790122032165527, 0.8199707865715027, 0.41330796480178833, 0.7692822813987732, 0.4934786260128021, 0.7398090958595276, 0.7502233982086182]",102
4,1.0,4,"[0.3788427412509918, 0.9301623106002808, 0.40532514452934265, 0.6610884070396423, 0.551639974117279, 0.6651948094367981, 0.6636160016059875, 0.9090313911437988, 0.32156261801719666, 0.9272333383560181, 0.09210427850484848, 0.3932628929615021, 0.17353028059005737, 0.45879969000816345, 0.47233515977859497, 0.23437142372131348]",102
5,1.0,5,"[0.7780454754829407, 0.7812772989273071, 0.42999541759490967, 0.7622221112251282, 0.649875283241272, 0.38575467467308044, 0.6906112432479858, 0.7520936131477356, 0.4969748854637146, 0.22323067486286163, 0.6117510795593262, 0.838464617729187, 0.7038576006889343, 0.2220449149608612, 0.7725526690483093, 0.6759435534477234]",102
6,1.0,1,"[0.09988465905189514, 0.6879696846008301, 0.5858113169670105, 0.9976540207862854, 0.961704432964325, 0.13462847471237183, 0.5401656031608582, 0.3706303834915161, 0.8042283058166504, 0.6021141409873962, 0.5955211520195007, 0.9672890901565552, 0.6541688442230225, 0.9707751274108887, 0.2952801585197449, 0.8083085417747498]",102
1,1.0,1,"[0.4737900197505951, 0.9433441758155823, 0.05599933862686157, 0.9339333772659302, 0.05828886106610298, 0.2541194260120392, 0.8035874962806702, 0.8780460357666016, 0.7185611724853516, 0.26271677017211914, 0.7528735995292664, 0.010161538608372211, 0.6924349665641785, 0.8183687925338745, 0.8359429836273193, 0.7153065800666809]",103
2,1.0,2,"[0.22696562111377716, 0.4333305060863495, 0.3742620348930359, 0.386465847492218, 0.9541453123092651, 0.2918359637260437, 0.2930229902267456, 0.2797926068305969, 0.3114606440067291, 0.05508745089173317, 0.42564061284065247, 0.5798227787017822, 0.778211772441864, 0.30076706409454346, 0.4215472340583801, 0.1882270872592926]",103
